pattern,name,cardIssuerId,cardTypeId,cardSchemeId,priority,validation
012001%,TC BSB INTEROPS,bankBni,prepaid,unknown,50,
014100%,DA BCA 6,bankBca,debit,npg,50,
014110%,DA BCA 7,bankBca,debit,npg,50,
014120%,DA BCA 8,bankBca,debit,npg,50,
014178%,DA BCA 15,bankBca,debit,npg,50,
014200%,DA BCA 9,bankBca,debit,npg,50,
014210%,DA BCA 10,bankBca,debit,npg,50,
014220%,DA BCA 11,bankBca,debit,npg,50,
014800%,DA BCA 12,bankBca,debit,npg,50,
014810%,DA BCA 13,bankBca,debit,npg,50,
014900%,DA BCA 14,bankBca,debit,npg,50,
1946[4-7]%,PRIVATE LABEL KREDIT,bankBni,credit,pl,50,
194632%,PL VIRTUAL ACCOUNT,bankBni,debit,pl,50,
194634%,PL NPG,bankBni,debit,pl,50,
194635%,PL KARTU TANI,bankBni,debit,pl,50,
194636%,PL KARTU INDONESIA,bankBni,debit,pl,50,
194637%,PL KARTU BANTUAN,bankBni,debit,pl,50,
19468%,PRIVATE LABEL DEBIT.1,bankBni,debit,pl,50,
19469[0-8]%,PRIVATE LABEL DEBIT.2,bankBni,debit,pl,50,
356393%,JCB PRECIOUS,bankBni,credit,jcb,50,
356524%,JCB GOLD,bankBni,credit,jcb,50,
357110%,DA JTRUST,bankJtrustIndonesia,debit,jcb,50,
40354[7-8]%,VISA DKI,bankDki,credit,visa,50,
404305%,DA SYA MNDRI 1,bankSyariahMandiri,debit,visa,50,
409766%,DA MANDIRI 3,bankMandiri,debit,npg,50,
409873%,DA BUKOPIN 9,bankBukopin,debit,npg,50,
410504%,VISA BLUE,bankBni,credit,visa,50,
410505%,VISA GOLD,bankBni,credit,visa,50,
413510%,DA SUMSEL 1,bankSumselBabel,debit,npg,50,
413511%,DA SUMSEL 2,bankSumselBabel,debit,npg,50,
415845%,DA CITIBANK 1,citibankIndonesia,debit,npg,50,
416335%,DA DBS 3,bankDbsIndonesia,debit,npg,50,
421405%,DA CIMB 2,bankCimbNiaga,debit,npg,50,
421407%,DA MEGA 1,bankMega,debit,npg,50,
421408%,DA MEGA 2,bankMega,debit,npg,50,
421445%,DA UOB 1,bankUobIndonesia,debit,npg,50,
421570%,DA BTN 1,bankBtn,debit,npg,50,
42609[7-8]%,VISA BJB,bankBjb,credit,visa,50,
426254%,DA PERMATA 4,bankPermata,debit,npg,50,
436583%,VISA CORPORATE PLATINUM,bankBni,credit,visa,50,
439062%,VISA CORPORATE GOLD,bankBni,credit,visa,50,
450679%,VISA DKI GOLD,bankBni,credit,visa,50,
450702%,VISA DKI PLATINUM,bankBni,credit,visa,50,
451249%,VISA PLATINUM,bankBni,credit,visa,50,
457512%,VISA INFINITE,bankBni,credit,visa,50,
